Provinsi,NEET_15-24_persen,APS_7-12_persen,APS_13-15_persen,APS_16-18_persen,APS_19-23_persen,Gini_Ratio_Sept2024,Jumlah_Sekolah_SMA,Jumlah_Guru_SMA,Jumlah_Murid_SMA,Jumlah_Sekolah_SMP,Jumlah_Guru_SMP,Jumlah_Murid_SMP,Jumlah_Tenaga_Kesehatan,Laju_Pertumbuhan_Ekonomi,Migrasi_Masuk_persen,Persen_Penduduk_Perkotaan_2025,Tingkat_Kemiskinan_persen,Akses_Sanitasi_Layak_persen,Akses_Internet_RT_persen,Jumlah_Penduduk_2025,PDRB_per_Kapita,Rata_Rata_Lama_Sekolah,Realisasi_Investasi_Proyek_PMA,Realisasi_Investasi_Nilai_PMA,TPT_Feb2025_persen,UMP_2020
SULAWESI TENGGARA,19.78,99.06,95.76,75.73,33.37,0.365,318,9333,92959,795,15087,114968,30700,5.4,3.06,39.4,10.63,90.62,88.69,2750000.0,67840.0,9.74,207,448.3,3.27,2552015
GORONTALO,21.89,98.79,91.35,72.7,34.43,0.413,71,2020,31284,344,4412,40840,9797,4.13,1.86,48.9,13.87,82.99,87.93,1240000.0,44433.0,8.64,57,33.8,3.12,2788826
SULAWESI BARAT,20.25,98.49,91.24,72.09,25.32,0.33,93,2480,30354,382,5890,51538,10849,4.76,2.61,23.0,10.71,82.52,84.56,1450000.0,42718.0,8.56,45,24.3,3.17,2678863
MALUKU,29.43,99.49,97.83,77.7,39.58,0.291,292,6643,68779,705,11434,89840,17363,5.34,1.57,39.9,15.78,80.51,82.56,1910000.0,32198.0,10.44,63,106.3,5.95,2604961
MALUKU UTARA,27.85,99.11,96.68,76.02,29.5,0.296,225,4037,45583,523,7324,58940,13271,13.73,1.27,29.2,6.03,82.32,81.88,1370000.0,70660.0,9.7,224,4998.2,4.26,2721530
PAPUA BARAT,26.93,97.6,95.61,75.32,31.18,0.385,66,1378,17241,165,2476,28625,6241,20.8,3.27,37.8,21.09,79.0,82.05,565805.0,131636.0,9.87,47,28.8,4.21,3134600
PAPUA BARAT DAYA,25.04,99.17,95.82,81.14,37.35,0.347,81,1453,14647,186,2636,25115,10128,3.6,,,16.95,77.84,-,613180.0,59064.0,10.48,65,93.0,6.61,-
PAPUA,27.85,97.09,96.98,80.38,38.17,0.405,118,2396,34054,276,4016,51648,4090,4.11,0.98,34.2,18.09,80.57,38.71,1090000.0,81009.0,10.7,73,8.3,6.92,3516700
PAPUA SELATAN,23.96,90.47,85.51,71.68,31.73,0.424,40,926,13821,132,2091,29093,6136,4.55,,,19.35,60.85,-,533910.0,61583.0,8.99,66,86.3,4.9,-
PAPUA TENGAH,31.2,74.63,68.42,47.65,17.96,0.355,60,1089,17624,171,2487,42782,3153,4.36,,,27.6,41.44,-,1360000.0,118774.0,6.17,37,968.0,3.55,-
PAPUA PEGUNUNGAN,17.74,79.98,73.12,56.09,17.84,0.346,68,887,14893,208,2093,45176,5157,4.75,,,29.66,12.61,-,1460000.0,18105.0,5.1,0,0.0,1.68,-
INDONESIA,20.31,99.19,96.17,74.64,29.01,0.381,14675,360010,5400167,43098,721880,10103503,1499959,,,60.0,8.57,83.6,87.09,,,9.22,70898,50267.5,4.76,2672371
